Name,Type,SubType,Cost,InitialRent,1House,2House,3House,4House,1Hotel,Set,HouseCost,HotelCost,UtilRent1,UtilRent2,StationRent1,StationRent2,StationRent3,StationRent4,TaxAmount,Specific
Go,,,,,,,,,,,,,,,,,,,,
The Old Creek,Property,Street,60,2,10,30,90,160,250,Brown,50,50,,,,,,,,
Pot Luck,Action,PotLuck,,,,,,,,,,,,,,,,,,
Gangsters Paradise,Property,Street,60,4,20,60,180,320,450,Brown,50,50,,,,,,,,
Income Tax,Tax,,,,,,,,,,,,,,,,,,200,
Brighton Station,Property,Station,200,,,,,,,,,,,,25,50,100,200,,
The Angels Delight,Property,Street,100,6,30,90,270,400,550,Blue,50,50,,,,,,,,
Opportunity Knocks,Action,oppKnock,,,,,,,,,,,,,,,,,,
Potter Avenue,Property,Street,100,6,30,90,270,400,550,Blue,50,50,,,,,,,,
Granger Drive,Property,Street,120,8,40,100,300,450,600,Blue,50,50,,,,,,,,
Jail/Just visiting,,,,,,,,,,,,,,,,,,,,
Skywalker Drive,Property,Street,140,10,50,150,450,625,750,Purple,100,100,,,,,,,,
Tesla Power Co,Property,Utility,150,,,,,,,,,,4,10,,,,,,Electric
Wookie Hole,Property,Street,140,10,50,150,450,625,750,Purple,100,100,,,,,,,,
Rey Lane,Property,Street,160,12,60,180,500,700,900,Purple,100,100,,,,,,,,
Hove Station,Property,Station,200,,,,,,,,,,,,25,50,100,200,,
Bishop Drive,Property,Street,180,14,70,200,550,750,950,Orange,100,100,,,,,,,,
Pot Luck,Action,PotLuck,,,,,,,,,,,,,,,,,,
Dunham Street,Property,Street,180,14,70,200,550,750,950,Orange,100,100,,,,,,,,
Broyles Lane,Property,Street,200,16,80,220,600,800,1000,Orange,100,100,,,,,,,,
Free Parking,,,,,,,,,,,,,,,,,,,,
Yue Fei Square,Property,Street,220,18,90,250,700,875,1050,Red,150,150,,,,,,,,
Opportunity Knocks,Action,OppKnock,,,,,,,,,,,,,,,,,,
Mulan Rouge,Property,Street,220,18,90,250,700,875,1050,Red,150,150,,,,,,,,
Han Xin Gardens,Property,Street,240,20,100,300,750,925,1100,Red,150,150,,,,,,,,
Falmer Station,Property,Station,200,,,,,,,,,,,,25,50,100,200,,
Shatner Close,Property,Street,260,22,110,330,800,975,1150,Yellow,150,150,,,,,,,,
Picard Avenue,Property,Street,260,22,110,330,800,975,1150,Yellow,150,150,,,,,,,,
Edison Water,Property,Utility,150,,,,,,,,,,4,10,,,,,,Water
Crusher Creek,Property,Street,280,22,120,360,850,1025,1200,Yellow,150,150,,,,,,,,
Go to Jail,Jail,,,,,,,,,,,,,,,,,,,
Sirat Mews,Property,Street,300,26,130,390,900,1100,1275,Green,200,200,,,,,,,,
Ghengis Crescent,Property,Street,300,26,130,390,900,1100,1275,Green,200,200,,,,,,,,
Pot Luck,Action,PotLuck,,,,,,,,,,,,,,,,,,
Ibis Close,Property,Street,320,28,150,450,1000,1200,1400,Green,200,200,,,,,,,,
Portslade Station,Property,Station,200,,,,,,,,,,,,25,50,100,200,,
Opportunity Knocks,Action,OppKnock,,,,,,,,,,,,,,,,,,
James Webb Way,Property,Street,350,35,175,500,1100,1300,1500,DeepBlue,200,200,,,,,,,,
Super Tax,Tax,,,,,,,,,,,,,,,,,,100,
Turing Heights,Property,Street,400,50,200,600,1400,1700,2000,DeepBlue,200,200,,,,,,,,
