Description,ActionType,Amount,HouseRepairAmount,HotelRepairAmount,TileName,Direction,MoveAmount
Pot luck,,,,,,,
"""You inherit £200""",GiveMoney,200,,,,,
"""You have won 2nd prize in a beauty contest, collect £50""",GiveMoney,50,,,,,
"""You are up the creek with no paddle - go back to The Old Creek""",MoveTo,,,,The Old Creek,Anticlockwise,
"""Student loan refund. Collect £20""",GiveMoney,20,,,,,
"""Bank error in your favour. Collect £200""",GiveMoney,200,,,,,
"""Pay bill for text books of £100""",TakeMoney,100,,,,,
"""Mega late night taxi bill pay £50""",TakeMoney,50,,,,,
"""Advance to go""",MoveTo,,,,Go,Clockwise,
"""From sale of Bitcoin you get £50""",GiveMoney,50,,,,,
"""Bitcoin assets fall - pay off Bitcoin short fall""",TakeMoney,50,,,,,
"""Pay a £10 fine or take opportunity knocks""",AddToFreeParking,10,,,,,
"""Pay insurance fee of £50""",AddToFreeParking,50,,,,,
"""Savings bond matures, collect £100""",GiveMoney,100,,,,,
"""Go to jail. Do not pass GO, do not collect £200""",GoToJail,,,,,,
"""Received interest on shares of £25""",GiveMoney,25,,,,,
"""It's your birthday. Collect £10 from each player""",CollectMoney,10,,,,,
"""Get out of jail free""",GetOutOfJail,,,,,,
Opportunity knocks,,,,,,,
"""Bank pays you divided of £50""",GiveMoney,50,,,,,
"""You have won a lip sync battle. Collect £100""",GiveMoney,100,,,,,
"""Advance to Turing Heights""",MoveTo,,,,Turing Heights,Clockwise,
"""Advance to Han Xin Gardens. If you pass GO, collect £200""",MoveTo,,,,Han Xin Gardens,Clockwise,
"""Fined £15 for speeding""",AddToFreeParking,15,,,,,
"""Pay university fees of £150""",TakeMoney,150,,,,,
"""Take a trip to Hove Station. If you pass GO collect £200""",MoveTo,,,,Hove Station,Clockwise,
"""Loan matures, collect £150""",GiveMoney,150,,,,,
"""You are assessed for repairs, £40/house, £115/hotel""",TakeBuildingMoney,,40,115,,,
"""Advance to GO""",MoveTo,,,,Go,,
"""You are assessed for repairs, £25/house, £100/hotel""",TakeBuildingMoney,,25,100,,,
"""Go back 3 spaces""",MoveBy,,,,,,-3
"""Advance to Skywalker Drive. If you pass GO collect £200""",MoveTo,,,,Skywalker Drive,,
"""Go to jail. Do not pass GO, do not collect £200""",GoToJail,,,,,,
"""Drunk in charge of a hoverboard. Fine £30""",AddToFreeParking,30,,,,,
"""Get out of jail free""",GetOutOfJail,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
